Elapsed_time	Temp_cum	Temperature	Num_plante	Genotype	Num_talle	Num_cohorte	Num_rang	Sheath_sumtemp	Sheath_diameter	Sheath_length	Sheath_final_length	Sheath_surface	Sheath_PAR	Photosynthetic
18.0	190.2	13.9	2	Maxwell	(1,)	-1	2	13.9	0.4	0.0	2.70152	0.0	0.0	True
18.0	190.2	13.9	3	Maxwell	(1,)	-1	1	71.4	0.4	0.0	2.148	0.0	0.0	True
18.0	190.2	13.9	4	Maxwell	(1,)	-1	1	134.2	0.4	0.0	2.148	0.0	0.0	True
18.0	190.2	13.9	4	Maxwell	(1,)	-1	2	34.7	0.4	0.0	2.70152	0.0	0.0	True
19.0	201.7	11.5	1	Maxwell	(1,)	-1	1	135.9	0.4	0.0	2.148	0.0	0.0	True
19.0	201.7	11.5	1	Maxwell	(1,)	-1	2	46.2	0.4	0.0	2.70152	0.0	0.0	True
19.0	201.7	11.5	2	Maxwell	(1,)	-1	1	125.9	0.4	0.0	2.148	0.0	0.0	True
19.0	201.7	11.5	2	Maxwell	(1,)	-1	2	25.4	0.4	0.0	2.70152	0.0	0.0	True
19.0	201.7	11.5	3	Maxwell	(1,)	-1	1	82.9	0.4	0.0	2.148	0.0	0.0	True
19.0	201.7	11.5	4	Maxwell	(1,)	-1	1	145.7	0.4	0.0	2.148	0.0	0.0	True
19.0	201.7	11.5	4	Maxwell	(1,)	-1	2	46.2	0.4	0.0	2.70152	0.0	0.0	True
20.0	208.9	7.2	1	Maxwell	(1,)	-1	1	143.1	0.4	0.0	2.148	0.0	0.0	True
20.0	208.9	7.2	1	Maxwell	(1,)	-1	2	53.4	0.4	0.0	2.70152	0.0	0.0	True
20.0	208.9	7.2	2	Maxwell	(1,)	-1	1	133.1	0.4	0.0	2.148	0.0	0.0	True
20.0	208.9	7.2	2	Maxwell	(1,)	-1	2	32.6	0.4	0.0	2.70152	0.0	0.0	True
20.0	208.9	7.2	3	Maxwell	(1,)	-1	1	90.1	0.4	0.0	2.148	0.0	0.0	True
20.0	208.9	7.2	4	Maxwell	(1,)	-1	1	152.9	0.4	0.0	2.148	0.0	0.0	True
20.0	208.9	7.2	4	Maxwell	(1,)	-1	2	53.4	0.4	0.0	2.70152	0.0	0.0	True
21.0	214.0	5.1	1	Maxwell	(1,)	-1	1	148.2	0.4	0.0	2.148	0.0	0.0	True
21.0	214.0	5.1	1	Maxwell	(1,)	-1	2	58.5	0.4	0.0	2.70152	0.0	0.0	True
21.0	214.0	5.1	2	Maxwell	(1,)	-1	1	138.2	0.4	0.0	2.148	0.0	0.0	True
