Init_flag	Elapsed_time	Temp_cum	DOY	Genotype	Num_plante	Surface_plante	Surface_visible	Surface_sol	GAI_tot	GAI_center	GAI_ind	GAI_prox	Position	Weakest_axis	PAR_weakest_axis
True	13.0	141.2	312	0	2	0.0	0.0	184.331797235	0.0	0.0	0.0	0.0	center	No	1.0
True	13.0	141.2	312	0	3	0.0	0.0	184.331797235	0.0	0.0	0.0	0.0	center	No	1.0
True	13.0	141.2	312	0	4	0.0	0.0	184.331797235	0.0	0.0	0.0	0.0	center	No	1.0
True	14.0	149.3	313	0	1	0.0	0.0	184.331797235	0.0	0.0	0.0	0.0	center	No	1.0
True	14.0	149.3	313	0	2	0.0	0.0	184.331797235	0.0	0.0	0.0	0.0	center	No	1.0
True	14.0	149.3	313	0	3	0.0	0.0	184.331797235	0.0	0.0	0.0	0.0	center	No	1.0
True	14.0	149.3	313	0	4	0.0	0.0	184.331797235	0.0	0.0	0.0	0.0	center	No	1.0
True	15.0	155.5	314	0	1	0.0	0.0	184.331797235	0.0	0.0	0.0	0.0	center	No	1.0
True	15.0	155.5	314	0	2	0.0	0.0	184.331797235	0.0	0.0	0.0	0.0	center	No	1.0
True	15.0	155.5	314	0	3	0.0	0.0	184.331797235	0.0	0.0	0.0	0.0	center	No	1.0
True	15.0	155.5	314	0	4	0.0	0.0	184.331797235	0.0	0.0	0.0	0.0	center	No	1.0
True	16.0	163.5	315	0	1	0.0	0.0	184.331797235	0.0	0.0	0.0	0.0	center	No	1.0
True	16.0	163.5	315	0	2	0.0	0.0	184.331797235	0.0	0.0	0.0	0.0	center	No	1.0
True	16.0	163.5	315	0	3	0.0	0.0	184.331797235	0.0	0.0	0.0	0.0	center	No	1.0
True	16.0	163.5	315	0	4	0.0	0.0	184.331797235	0.0	0.0	0.0	0.0	center	No	1.0
True	17.0	176.3	316	0	1	0.0	0.0	184.331797235	0.0	0.0	0.0	0.0	center	No	1.0
True	17.0	176.3	316	0	2	0.0	0.0	184.331797235	0.0	0.0	0.0	0.0	center	No	1.0
True	17.0	176.3	316	0	3	0.0	0.0	184.331797235	0.0	0.0	0.0	0.0	center	No	1.0
True	17.0	176.3	316	0	4	0.0	0.0	184.331797235	0.0	0.0	0.0	0.0	center	No	1.0
True	18.0	190.2	317	0	1	0.0	0.0	184.331797235	0.0	0.0	0.0	0.0	center	No	1.0
True	18.0	190.2	317	0	2	0.0	0.0	184.331797235	0.0	0.0	0.0	0.0	center	No	1.0
True	18.0	190.2	317	0	3	0.0	0.0	184.331797235	0.0	0.0	0.0	0.0	center	No	1.0
True	18.0	190.2	317	0	4	0.0	0.0	184.331797235	0.0	0.0	0.0	0.0	center	No	1.0
True	19.0	201.7	318	0	1	0.0	0.0	184.331797235	0.0	0.0	0.0	0.0	center	No	1.0
True	19.0	201.7	318	0	2	0.0	0.0	184.331797235	0.0	0.0	0.0	0.0	center	No	1.0
True	19.0	201.7	318	0	3	0.0	0.0	184.331797235	0.0	0.0	0.0	0.0	center	No	1.0
True	19.0	201.7	318	0	4	0.0	0.0	184.331797235	0.0	0.0	0.0	0.0	center	No	1.0
False	0.0	0.0	319	0	1	0.0	0.0	184.331797235	0.0	0.0	0.0	0.0	center	No	1.0
False	0.0	0.0	319	0	2	0.0	0.0	184.331797235	0.0	0.0	0.0	0.0	center	No	1.0
False	0.0	0.0	319	0	3	0.0	0.0	184.331797235	0.0	0.0	0.0	0.0	center	No	1.0
False	0.0	0.0	319	0	4	0.0	0.0	184.331797235	0.0	0.0	0.0	0.0	center	No	1.0
False	1.0	10.3	320	0	1	0.0	0.0	184.331797235	0.0	0.0	0.0	0.0	center	No	1.0
False	1.0	10.3	320	0	2	0.0	0.0	184.331797235	0.0	0.0	0.0	0.0	center	No	1.0
False	1.0	10.3	320	0	3	0.0	0.0	184.331797235	0.0	0.0	0.0	0.0	center	No	1.0
False	1.0	10.3	320	0	4	0.0	0.0	184.331797235	0.0	0.0	0.0	0.0	center	No	1.0
False	2.0	20.7	321	0	1	0.0	0.0	184.331797235	0.0	0.0	0.0	0.0	center	No	1.0
False	2.0	20.7	321	0	2	0.0	0.0	184.331797235	0.0	0.0	0.0	0.0	center	No	1.0
False	2.0	20.7	321	0	3	0.0	0.0	184.331797235	0.0	0.0	0.0	0.0	center	No	1.0
False	2.0	20.7	321	0	4	0.0	0.0	184.331797235	0.0	0.0	0.0	0.0	center	No	1.0
False	3.0	33.3	322	0	1	0.0	0.0	184.331797235	0.0	0.0	0.0	0.0	center	No	1.0
False	3.0	33.3	322	0	2	0.0	0.0	184.331797235	0.0	0.0	0.0	0.0	center	No	1.0
False	3.0	33.3	322	0	3	0.0	0.0	184.331797235	0.0	0.0	0.0	0.0	center	No	1.0
False	3.0	33.3	322	0	4	0.0	0.0	184.331797235	0.0	0.0	0.0	0.0	center	No	1.0
False	4.0	44.7	323	0	1	0.0	0.0	184.331797235	0.0	0.0	0.0	0.0	center	No	1.0
False	4.0	44.7	323	0	2	0.0	0.0	184.331797235	0.0	0.0	0.0	0.0	center	No	1.0
False	4.0	44.7	323	0	3	0.0	0.0	184.331797235	0.0	0.0	0.0	0.0	center	No	1.0
False	4.0	44.7	323	0	4	0.0	0.0	184.331797235	0.0	0.0	0.0	0.0	center	No	1.0
False	5.0	56.0	324	0	1	0.0	0.0	184.331797235	0.0	0.0	0.0	0.0	center	No	1.0
False	5.0	56.0	324	0	2	0.0	0.0	184.331797235	0.0	0.0	0.0	0.0	center	No	1.0
False	5.0	56.0	324	0	3	0.0	0.0	184.331797235	0.0	0.0	0.0	0.0	center	No	1.0
False	5.0	56.0	324	0	4	0.0	0.0	184.331797235	0.0	0.0	0.0	0.0	center	No	1.0
False	6.0	65.8	325	0	1	0.0	0.0	184.331797235	1.23141027118e-05	1.23141027118e-05	0.0	1.27299975171e-05	center	No	1.0
False	6.0	65.8	325	0	2	0.0	0.0	184.331797235	1.23141027118e-05	1.23141027118e-05	0.0	1.27299975171e-05	center	No	1.0
False	6.0	65.8	325	0	3	0.0	0.0	184.331797235	1.23141027118e-05	1.23141027118e-05	0.0	1.27299975171e-05	center	No	1.0
False	6.0	65.8	325	0	4	0.265907670455	0.00226988068421	184.331797235	1.23141027118e-05	1.23141027118e-05	4.92564108473e-05	1.27299975171e-05	center	No	1.0
False	7.0	75.8	326	0	1	0.268326704545	0.00236347426511	184.331797235	6.30886203491e-05	6.30886203491e-05	5.12873915528e-05	6.40896884765e-05	center	No	1.0
False	7.0	75.8	326	0	2	0.0	0.0	184.331797235	6.30886203491e-05	6.30886203491e-05	0.0	6.40896884765e-05	center	No	1.0
False	7.0	75.8	326	0	3	0.0	0.0	184.331797235	6.30886203491e-05	6.30886203491e-05	0.0	6.40896884765e-05	center	No	1.0
False	7.0	75.8	326	0	4	0.386859375	0.00926576450893	184.331797235	6.30886203491e-05	6.30886203491e-05	0.000201067089844	6.40896884765e-05	center	No	1.0
False	8.0	89.5	327	0	1	0.434030539773	0.0132753985997	184.331797235	0.00023997755163	0.00023997755163	0.000288076149613	0.000240323701984	center	No	1.0
False	8.0	89.5	327	0	2	0.313078835227	0.00443600484818	184.331797235	0.00023997755163	0.00023997755163	9.62613052055e-05	0.000240323701984	center	No	1.0
False	8.0	89.5	327	0	3	0.0	0.0	184.331797235	0.00023997755163	0.00023997755163	0.0	0.000240323701984	center	No	1.0
False	8.0	89.5	327	0	4	0.552563210227	0.0265240899402	184.331797235	0.00023997755163	0.00023997755163	0.000575572751702	0.000240323701984	center	No	1.0
False	9.0	104.3	328	0	1	0.6130390625	0.0350325972946	184.331797235	0.000593316906994	0.000593316906994	0.000760207361292	0.000590493647174	center	No	1.0
False	9.0	104.3	328	0	2	0.492087357955	0.0191973197183	184.331797235	0.000593316906994	0.000593316906994	0.000416581837888	0.000590493647174	center	No	1.0
False	9.0	104.3	328	0	3	0.0	0.0	184.331797235	0.000593316906994	0.000593316906994	0.0	0.000590493647174	center	No	1.0
False	9.0	104.3	328	0	4	0.731571732955	0.0551372547833	184.331797235	0.000593316906994	0.000593316906994	0.0011964784288	0.000590493647174	center	No	1.0
False	10.0	118.8	329	0	1	0.788419034091	0.0663899921069	184.331797235	0.00110291484039	0.00110291484039	0.00144066282872	0.00109450670559	center	No	1.0
False	10.0	118.8	329	0	2	0.667467329545	0.0437006391618	184.331797235	0.00110291484039	0.00110291484039	0.000948303869812	0.00109450670559	center	No	1.0
False	10.0	118.8	329	0	3	0.0	0.0	184.331797235	0.00110291484039	0.00110291484039	0.0	0.00109450670559	center	No	1.0
False	10.0	118.8	329	0	4	0.906951704545	0.093211643457	184.331797235	0.00110291484039	0.00110291484039	0.00202269266302	0.00109450670559	center	No	1.0
False	11.0	130.0	330	0	1	0.923884943182	0.0974139007004	184.331797235	0.00162333825995	0.00162333825995	0.0021138816452	0.00160966841534	center	No	1.0
False	11.0	130.0	330	0	2	0.802933238636	0.0694303654015	184.331797235	0.00162333825995	0.00162333825995	0.00150663892921	0.00160966841534	center	No	1.0
False	11.0	130.0	330	0	3	0.282840909091	0.00296474211815	184.331797235	0.00162333825995	0.00162333825995	6.43349039639e-05	0.00160966841534	center	No	1.0
False	11.0	130.0	330	0	4	1.04241761364	0.129423850757	184.331797235	0.00162333825995	0.00162333825995	0.00280849756143	0.00160966841534	center	No	1.0
False	12.0	136.1	331	0	1	0.997665482955	0.116805025308	184.331797235	0.00196090674241	0.00196090674241	0.00253466904919	0.00194437114513	center	No	1.0
False	12.0	136.1	331	0	2	0.876713778409	0.0859380514062	184.331797235	0.00196090674241	0.00196090674241	0.00186485571551	0.00194437114513	center	No	1.0
False	12.0	136.1	331	0	3	0.356621448864	0.00707364212804	184.331797235	0.00196090674241	0.00196090674241	0.000153498034178	0.00194437114513	center	No	1.0
False	12.0	136.1	331	0	4	1.11619815341	0.151640745197	184.331797235	0.00196090674241	0.00196090674241	0.00329060417077	0.00194437114513	center	No	1.0
False	13.0	141.2	332	0	1	1.05935085227	0.13436729353	184.331797235	0.00227243148744	0.00227243148744	0.00291577026961	0.00225349993302	center	No	1.0
False	13.0	141.2	332	0	2	0.938399147727	0.101089575877	184.331797235	0.00227243148744	0.00227243148744	0.00219364379654	0.00225349993302	center	No	1.0
False	13.0	141.2	332	0	3	0.418306818182	0.0118589684726	184.331797235	0.00227243148744	0.00227243148744	0.000257339615856	0.00225349993302	center	No	1.0
False	13.0	141.2	332	0	4	1.17788352273	0.171565542294	184.331797235	0.00227243148744	0.00227243148744	0.00372297226778	0.00225349993302	center	No	1.0
False	14.0	149.3	333	0	1	1.15732173295	0.164787334449	184.331797235	0.00613753874157	0.00613753874157	0.00357588515754	0.00622677895377	center	No	1.0
False	14.0	149.3	333	0	2	1.03637002841	0.127680788487	184.331797235	0.00613753874157	0.00613753874157	0.00277067311016	0.00622677895377	center	No	1.0
False	14.0	149.3	333	0	3	0.516277698864	0.0219862193512	184.331797235	0.00613753874157	0.00613753874157	0.00047710095992	0.00622677895377	center	No	1.0
False	14.0	149.3	333	0	4	1.27585440341	0.816889204545	184.331797235	0.00613753874157	0.00613753874157	0.0177264957386	0.00622677895377	center	No	1.0
False	15.0	155.5	334	0	1	1.23231178977	0.758832386364	184.331797235	0.0100778692129	0.0100778692129	0.0164666627841	0.0100097259044	center	No	1.0
False	15.0	155.5	334	0	2	1.11136008523	0.150130012446	184.331797235	0.0100778692129	0.0100778692129	0.00325782127009	0.0100097259044	center	No	1.0
False	15.0	155.5	334	0	3	0.591267755682	0.0318333985293	184.331797235	0.0100778692129	0.0100778692129	0.000690784748086	0.0100097259044	center	No	1.0
False	15.0	155.5	334	0	4	1.35084446023	0.91687594697	184.331797235	0.0100778692129	0.0100778692129	0.0198962080492	0.0100097259044	center	No	1.0
False	16.0	163.5	335	0	1	1.63671860795	0.889904786256	184.331797235	0.0147107342044	0.0147107342044	0.0193109338618	0.0145537075662	center	No	1.0
False	16.0	163.5	335	0	2	1.20812144886	0.726578598485	184.331797235	0.0147107342044	0.0147107342044	0.0157667555871	0.0145537075662	center	No	1.0
False	16.0	163.5	335	0	3	0.688029119318	0.0472243429437	184.331797235	0.0147107342044	0.0147107342044	0.00102476824188	0.0145537075662	center	No	1.0
False	16.0	163.5	335	0	4	1.75525127841	1.04794834686	184.331797235	0.0147107342044	0.0147107342044	0.0227404791269	0.0145537075662	center	No	1.0
