Elapsed_time	Temp_cum	Num_plante	Genotype	Num_talle	Ear_sumtemp	Ear_length	Ear_surface	Ear_PAR	Photosynthetic	Emerged
83.0	382.7	4	Maxwell	(1, 5, 2)	7.1	0.0	0.0	0.0	True	False
83.0	382.7	4	Maxwell	(1, 5, 4)	7.1	0.0	0.0	0.0	True	False
83.0	382.7	4	Maxwell	(1, 5)	7.1	0.0	0.0	0.0	True	False
83.0	382.7	4	Maxwell	(1, 6, 1, 1)	7.1	0.0	0.0	0.0	True	False
83.0	382.7	4	Maxwell	(1, 6, 1)	7.1	0.0	0.0	0.0	True	False
83.0	382.7	4	Maxwell	(1, 6, 3)	7.1	0.0	0.0	0.0	True	False
83.0	382.7	4	Maxwell	(1, 6)	7.1	0.0	0.0	0.0	True	False
83.0	382.7	4	Maxwell	(1, 7, 2)	7.1	0.0	0.0	0.0	True	False
83.0	382.7	4	Maxwell	(1, 7)	7.1	0.0	0.0	0.0	True	False
83.0	382.7	4	Maxwell	(1, 8, 1)	7.1	0.0	0.0	0.0	True	False
83.0	382.7	4	Maxwell	(1, 8)	7.1	0.0	0.0	0.0	True	False
83.0	382.7	4	Maxwell	(1, 10)	7.1	0.0	0.0	0.0	True	False
83.0	382.7	4	Maxwell	(1,)	16.1	0.0	0.0	0.0	True	True
84.0	389.5	1	Maxwell	(1,)	6.8	0.0	0.0	0.0	True	True
84.0	389.5	4	Maxwell	(1, 2, 1, 1, 1, 1)	13.9	0.0	0.0	0.0	True	False
84.0	389.5	4	Maxwell	(1, 2, 1, 1, 1)	13.9	0.0	0.0	0.0	True	False
84.0	389.5	4	Maxwell	(1, 2, 1, 1, 3)	13.9	0.0	0.0	0.0	True	False
84.0	389.5	4	Maxwell	(1, 2, 1, 1)	13.9	0.0	0.0	0.0	True	False
84.0	389.5	4	Maxwell	(1, 2, 1, 2, 2)	13.9	0.0	0.0	0.0	True	False
84.0	389.5	4	Maxwell	(1, 2, 1, 2)	13.9	0.0	0.0	0.0	True	False
84.0	389.5	4	Maxwell	(1, 2, 1, 3, 1)	13.9	0.0	0.0	0.0	True	False
84.0	389.5	4	Maxwell	(1, 2, 1, 3)	13.9	0.0	0.0	0.0	True	False
84.0	389.5	4	Maxwell	(1, 2, 1, 5)	13.9	0.0	0.0	0.0	True	False
84.0	389.5	4	Maxwell	(1, 2, 1)	13.9	0.0	0.0	0.0	True	False
84.0	389.5	4	Maxwell	(1, 2, 2, 1, 2)	13.9	0.0	0.0	0.0	True	False
84.0	389.5	4	Maxwell	(1, 2, 2, 1)	13.9	0.0	0.0	0.0	True	False
84.0	389.5	4	Maxwell	(1, 2, 2, 2, 1)	13.9	0.0	0.0	0.0	True	False
84.0	389.5	4	Maxwell	(1, 2, 2, 2)	13.9	0.0	0.0	0.0	True	False
84.0	389.5	4	Maxwell	(1, 2, 2, 4)	13.9	0.0	0.0	0.0	True	False
84.0	389.5	4	Maxwell	(1, 2, 2)	13.9	0.0	0.0	0.0	True	False
84.0	389.5	4	Maxwell	(1, 2, 3, 1, 1)	13.9	0.0	0.0	0.0	True	False
84.0	389.5	4	Maxwell	(1, 2, 3, 1)	13.9	0.0	0.0	0.0	True	False
84.0	389.5	4	Maxwell	(1, 2, 3, 3)	13.9	0.0	0.0	0.0	True	False
84.0	389.5	4	Maxwell	(1, 2, 3)	13.9	0.0	0.0	0.0	True	False
84.0	389.5	4	Maxwell	(1, 2, 4, 2)	13.9	0.0	0.0	0.0	True	False
84.0	389.5	4	Maxwell	(1, 2, 4)	13.9	0.0	0.0	0.0	True	False
84.0	389.5	4	Maxwell	(1, 2, 5, 1)	13.9	0.0	0.0	0.0	True	False
84.0	389.5	4	Maxwell	(1, 2, 5)	13.9	0.0	0.0	0.0	True	False
84.0	389.5	4	Maxwell	(1, 2, 7)	13.9	0.0	0.0	0.0	True	False
84.0	389.5	4	Maxwell	(1, 2)	13.9	0.0	0.0	0.0	True	True
84.0	389.5	4	Maxwell	(1, 3, 1, 1, 2)	13.9	0.0	0.0	0.0	True	False
84.0	389.5	4	Maxwell	(1, 3, 1, 1)	13.9	0.0	0.0	0.0	True	False
84.0	389.5	4	Maxwell	(1, 3, 1, 2, 1)	13.9	0.0	0.0	0.0	True	False
84.0	389.5	4	Maxwell	(1, 3, 1, 2)	13.9	0.0	0.0	0.0	True	False
84.0	389.5	4	Maxwell	(1, 3, 1, 4)	13.9	0.0	0.0	0.0	True	False
84.0	389.5	4	Maxwell	(1, 3, 1)	13.9	0.0	0.0	0.0	True	False
84.0	389.5	4	Maxwell	(1, 3, 2, 1, 1)	13.9	0.0	0.0	0.0	True	False
84.0	389.5	4	Maxwell	(1, 3, 2, 1)	13.9	0.0	0.0	0.0	True	False
84.0	389.5	4	Maxwell	(1, 3, 2, 3)	13.9	0.0	0.0	0.0	True	False
84.0	389.5	4	Maxwell	(1, 3, 2)	13.9	0.0	0.0	0.0	True	False
84.0	389.5	4	Maxwell	(1, 3, 3, 2)	13.9	0.0	0.0	0.0	True	False
84.0	389.5	4	Maxwell	(1, 3, 3)	13.9	0.0	0.0	0.0	True	False
84.0	389.5	4	Maxwell	(1, 3, 4, 1)	13.9	0.0	0.0	0.0	True	False
84.0	389.5	4	Maxwell	(1, 3, 4)	13.9	0.0	0.0	0.0	True	False
84.0	389.5	4	Maxwell	(1, 3, 6)	13.9	0.0	0.0	0.0	True	False
84.0	389.5	4	Maxwell	(1, 3)	13.9	0.0	0.0	0.0	True	False
84.0	389.5	4	Maxwell	(1, 4, 1, 1, 1)	13.9	0.0	0.0	0.0	True	False
84.0	389.5	4	Maxwell	(1, 4, 1, 1)	13.9	0.0	0.0	0.0	True	False
84.0	389.5	4	Maxwell	(1, 4, 1, 3)	13.9	0.0	0.0	0.0	True	False
84.0	389.5	4	Maxwell	(1, 4, 1)	13.9	0.0	0.0	0.0	True	False
84.0	389.5	4	Maxwell	(1, 4, 2, 2)	13.9	0.0	0.0	0.0	True	False
84.0	389.5	4	Maxwell	(1, 4, 2)	13.9	0.0	0.0	0.0	True	False
84.0	389.5	4	Maxwell	(1, 4, 3, 1)	13.9	0.0	0.0	0.0	True	False
84.0	389.5	4	Maxwell	(1, 4, 3)	13.9	0.0	0.0	0.0	True	False
84.0	389.5	4	Maxwell	(1, 4, 5)	13.9	0.0	0.0	0.0	True	False
84.0	389.5	4	Maxwell	(1, 4)	13.9	0.0	0.0	0.0	True	False
84.0	389.5	4	Maxwell	(1, 5, 1, 2)	13.9	0.0	0.0	0.0	True	False
84.0	389.5	4	Maxwell	(1, 5, 1)	13.9	0.0	0.0	0.0	True	False
84.0	389.5	4	Maxwell	(1, 5, 2, 1)	13.9	0.0	0.0	0.0	True	False
84.0	389.5	4	Maxwell	(1, 5, 2)	13.9	0.0	0.0	0.0	True	False
84.0	389.5	4	Maxwell	(1, 5, 4)	13.9	0.0	0.0	0.0	True	False
84.0	389.5	4	Maxwell	(1, 5)	13.9	0.0	0.0	0.0	True	False
84.0	389.5	4	Maxwell	(1, 6, 1, 1)	13.9	0.0	0.0	0.0	True	False
84.0	389.5	4	Maxwell	(1, 6, 1)	13.9	0.0	0.0	0.0	True	False
84.0	389.5	4	Maxwell	(1, 6, 3)	13.9	0.0	0.0	0.0	True	False
84.0	389.5	4	Maxwell	(1, 6)	13.9	0.0	0.0	0.0	True	False
84.0	389.5	4	Maxwell	(1, 7, 2)	13.9	0.0	0.0	0.0	True	False
84.0	389.5	4	Maxwell	(1, 7)	13.9	0.0	0.0	0.0	True	False
84.0	389.5	4	Maxwell	(1, 8, 1)	13.9	0.0	0.0	0.0	True	False
84.0	389.5	4	Maxwell	(1, 8)	13.9	0.0	0.0	0.0	True	False
84.0	389.5	4	Maxwell	(1, 10)	13.9	0.0	0.0	0.0	True	False
84.0	389.5	4	Maxwell	(1,)	22.9	0.0	0.0	0.0	True	True
85.0	391.5	1	Maxwell	(1, 2, 1, 1, 1, 1)	2.0	0.0	0.0	0.0	True	False
85.0	391.5	1	Maxwell	(1, 2, 1, 1, 1)	2.0	0.0	0.0	0.0	True	False
85.0	391.5	1	Maxwell	(1, 2, 1, 1, 3)	2.0	0.0	0.0	0.0	True	False
85.0	391.5	1	Maxwell	(1, 2, 1, 1)	2.0	0.0	0.0	0.0	True	False
85.0	391.5	1	Maxwell	(1, 2, 1, 2, 2)	2.0	0.0	0.0	0.0	True	False
85.0	391.5	1	Maxwell	(1, 2, 1, 2)	2.0	0.0	0.0	0.0	True	False
85.0	391.5	1	Maxwell	(1, 2, 1, 3, 1)	2.0	0.0	0.0	0.0	True	False
85.0	391.5	1	Maxwell	(1, 2, 1, 3)	2.0	0.0	0.0	0.0	True	False
85.0	391.5	1	Maxwell	(1, 2, 1, 5)	2.0	0.0	0.0	0.0	True	False
85.0	391.5	1	Maxwell	(1, 2, 1)	2.0	0.0	0.0	0.0	True	False
85.0	391.5	1	Maxwell	(1, 2, 2, 1, 2)	2.0	0.0	0.0	0.0	True	False
85.0	391.5	1	Maxwell	(1, 2, 2, 1)	2.0	0.0	0.0	0.0	True	False
85.0	391.5	1	Maxwell	(1, 2, 2, 2, 1)	2.0	0.0	0.0	0.0	True	False
85.0	391.5	1	Maxwell	(1, 2, 2, 2)	2.0	0.0	0.0	0.0	True	False
85.0	391.5	1	Maxwell	(1, 2, 2, 4)	2.0	0.0	0.0	0.0	True	False
85.0	391.5	1	Maxwell	(1, 2, 2)	2.0	0.0	0.0	0.0	True	False
85.0	391.5	1	Maxwell	(1, 2, 3, 1, 1)	2.0	0.0	0.0	0.0	True	False
85.0	391.5	1	Maxwell	(1, 2, 3, 1)	2.0	0.0	0.0	0.0	True	False
85.0	391.5	1	Maxwell	(1, 2, 3, 3)	2.0	0.0	0.0	0.0	True	False
85.0	391.5	1	Maxwell	(1, 2, 3)	2.0	0.0	0.0	0.0	True	False
85.0	391.5	1	Maxwell	(1, 2, 4, 2)	2.0	0.0	0.0	0.0	True	False
85.0	391.5	1	Maxwell	(1, 2, 4)	2.0	0.0	0.0	0.0	True	False
85.0	391.5	1	Maxwell	(1, 2, 5, 1)	2.0	0.0	0.0	0.0	True	False
85.0	391.5	1	Maxwell	(1, 2, 5)	2.0	0.0	0.0	0.0	True	False
85.0	391.5	1	Maxwell	(1, 2, 7)	2.0	0.0	0.0	0.0	True	False
85.0	391.5	1	Maxwell	(1, 2)	2.0	0.0	0.0	0.0	True	True
85.0	391.5	1	Maxwell	(1, 3, 1, 1, 2)	2.0	0.0	0.0	0.0	True	False
85.0	391.5	1	Maxwell	(1, 3, 1, 1)	2.0	0.0	0.0	0.0	True	False
85.0	391.5	1	Maxwell	(1, 3, 1, 2, 1)	2.0	0.0	0.0	0.0	True	False
85.0	391.5	1	Maxwell	(1, 3, 1, 2)	2.0	0.0	0.0	0.0	True	False
85.0	391.5	1	Maxwell	(1, 3, 1, 4)	2.0	0.0	0.0	0.0	True	False
85.0	391.5	1	Maxwell	(1, 3, 1)	2.0	0.0	0.0	0.0	True	False
85.0	391.5	1	Maxwell	(1, 3, 2, 1, 1)	2.0	0.0	0.0	0.0	True	False
85.0	391.5	1	Maxwell	(1, 3, 2, 1)	2.0	0.0	0.0	0.0	True	False
85.0	391.5	1	Maxwell	(1, 3, 2, 3)	2.0	0.0	0.0	0.0	True	False
85.0	391.5	1	Maxwell	(1, 3, 2)	2.0	0.0	0.0	0.0	True	False
85.0	391.5	1	Maxwell	(1, 3, 3, 2)	2.0	0.0	0.0	0.0	True	False
85.0	391.5	1	Maxwell	(1, 3, 3)	2.0	0.0	0.0	0.0	True	False
85.0	391.5	1	Maxwell	(1, 3, 4, 1)	2.0	0.0	0.0	0.0	True	False
85.0	391.5	1	Maxwell	(1, 3, 4)	2.0	0.0	0.0	0.0	True	False
85.0	391.5	1	Maxwell	(1, 3, 6)	2.0	0.0	0.0	0.0	True	False
85.0	391.5	1	Maxwell	(1, 3)	2.0	0.0	0.0	0.0	True	False
85.0	391.5	1	Maxwell	(1, 4, 1, 1, 1)	2.0	0.0	0.0	0.0	True	False
85.0	391.5	1	Maxwell	(1, 4, 1, 1)	2.0	0.0	0.0	0.0	True	False
85.0	391.5	1	Maxwell	(1, 4, 1, 3)	2.0	0.0	0.0	0.0	True	False
85.0	391.5	1	Maxwell	(1, 4, 1)	2.0	0.0	0.0	0.0	True	False
85.0	391.5	1	Maxwell	(1, 4, 2, 2)	2.0	0.0	0.0	0.0	True	False
85.0	391.5	1	Maxwell	(1, 4, 2)	2.0	0.0	0.0	0.0	True	False
85.0	391.5	1	Maxwell	(1, 4, 3, 1)	2.0	0.0	0.0	0.0	True	False
85.0	391.5	1	Maxwell	(1, 4, 3)	2.0	0.0	0.0	0.0	True	False
85.0	391.5	1	Maxwell	(1, 4, 5)	2.0	0.0	0.0	0.0	True	False
85.0	391.5	1	Maxwell	(1, 4)	2.0	0.0	0.0	0.0	True	False
85.0	391.5	1	Maxwell	(1, 5, 1, 2)	2.0	0.0	0.0	0.0	True	False
85.0	391.5	1	Maxwell	(1, 5, 1)	2.0	0.0	0.0	0.0	True	False
85.0	391.5	1	Maxwell	(1, 5, 2, 1)	2.0	0.0	0.0	0.0	True	False
85.0	391.5	1	Maxwell	(1, 5, 2)	2.0	0.0	0.0	0.0	True	False
85.0	391.5	1	Maxwell	(1, 5, 4)	2.0	0.0	0.0	0.0	True	False
85.0	391.5	1	Maxwell	(1, 5)	2.0	0.0	0.0	0.0	True	False
85.0	391.5	1	Maxwell	(1, 6, 1, 1)	2.0	0.0	0.0	0.0	True	False
85.0	391.5	1	Maxwell	(1, 6, 1)	2.0	0.0	0.0	0.0	True	False
85.0	391.5	1	Maxwell	(1, 6, 3)	2.0	0.0	0.0	0.0	True	False
85.0	391.5	1	Maxwell	(1, 6)	2.0	0.0	0.0	0.0	True	False
