Abs_int_PAR	Elapsed_time	Inc_PAR	Num_plante	Num_talle	Sum_PAR	Temp_cum
4957.619018	145.0	31027200	3	(1, 3)	1109571.68062	726.7
75.71417349	145.0	31027200	3	(1, 4)	30377.6398936	726.7
40762.1198594	145.0	31027200	3	(1,)	3099045.93286	726.7
17103.9675276	145.0	31027200	4	(1, 2)	1882543.40202	726.7
1157.64010225	145.0	31027200	4	(1, 4)	299896.316701	726.7
40551.3293724	145.0	31027200	4	(1,)	2521987.04753	726.7
23032.9019319	146.0	36703400	1	(1, 2)	2024511.38286	734.6
1282.64637683	146.0	36703400	1	(1, 2, 1)	281602.49438	734.6
1482.16602632	146.0	36703400	1	(1, 4)	304365.966924	734.6
47310.9367036	146.0	36703400	1	(1,)	2374774.79425	734.6
17537.1271395	146.0	36703400	2	(1, 2)	1729652.57068	734.6
837.533498895	146.0	36703400	2	(1, 2, 1)	206890.752345	734.6
8148.79533549	146.0	36703400	2	(1, 3)	1525206.60429	734.6
521.413017316	146.0	36703400	2	(1, 4)	118232.381442	734.6
35949.8804815	146.0	36703400	2	(1,)	1979878.52928	734.6
17062.1551434	146.0	36703400	3	(1, 2)	2798714.70037	734.6
90.9469893633	146.0	36703400	3	(1, 2, 1)	58385.5488375	734.6
5828.06941254	146.0	36703400	3	(1, 3)	1065628.98944	734.6
104.617888486	146.0	36703400	3	(1, 4)	33188.3316152	734.6
48264.9704361	146.0	36703400	3	(1,)	3095092.73331	734.6
21268.8758292	146.0	36703400	4	(1, 2)	1869459.66878	734.6
1853.43176483	146.0	36703400	4	(1, 4)	380606.181234	734.6
48995.6518097	146.0	36703400	4	(1,)	2459339.15184	734.6
24508.5645525	147.0	36804400	1	(1, 2)	1677051.17578	744.3
1566.17551917	147.0	36804400	1	(1, 2, 1)	255886.930487	744.3
1692.38717183	147.0	36804400	1	(1, 4)	262022.970873	744.3
48771.005466	147.0	36804400	1	(1,)	1918639.78522	744.3
18958.6329422	147.0	36804400	2	(1, 2)	1403176.11868	744.3
1230.08051205	147.0	36804400	2	(1, 2, 1)	223807.769088	744.3
9106.3863152	147.0	36804400	2	(1, 3)	1260998.2437	744.3
883.920339824	147.0	36804400	2	(1, 4)	150037.405469	744.3
37470.3535871	147.0	36804400	2	(1,)	1577991.20704	744.3
17225.6475467	147.0	36804400	3	(1, 2)	1805284.59884	744.3
116.830024334	147.0	36804400	3	(1, 2, 1)	55738.4606438	744.3
5804.18240146	147.0	36804400	3	(1, 3)	825576.115745	744.3
135.448579257	147.0	36804400	3	(1, 4)	32309.4646524	744.3
48573.3106392	147.0	36804400	3	(1,)	2517259.60087	744.3
22467.0082761	147.0	36804400	4	(1, 2)	1537353.30215	744.3
1938.60885156	147.0	36804400	4	(1, 4)	300144.115425	744.3
50463.7962418	147.0	36804400	4	(1,)	1985233.77276	744.3
32108.0886826	148.0	35269200	1	(1, 2)	1936987.87565	755.2
7570.22705353	148.0	35269200	1	(1, 2, 1)	1036623.03351	755.2
4380.17998779	148.0	35269200	1	(1, 4)	574672.90983	755.2
55548.5301589	148.0	35269200	1	(1,)	2270131.10757	755.2
17481.418102	148.0	35269200	2	(1, 2)	1080177.42328	755.2
1655.96982782	148.0	35269200	2	(1, 2, 1)	242109.67652	755.2
8838.89514892	148.0	35269200	2	(1, 3)	1006148.56339	755.2
1150.70687738	148.0	35269200	2	(1, 4)	159338.65029	755.2
34854.4565432	148.0	35269200	2	(1,)	1232308.13003	755.2
16736.2274555	148.0	35269200	3	(1, 2)	1477555.63213	755.2
136.919767649	148.0	35269200	3	(1, 2, 1)	32114.7761177	755.2
5545.53118378	148.0	35269200	3	(1, 3)	666806.529791	755.2
176.87105449	148.0	35269200	3	(1, 4)	34564.5329458	755.2
42138.3362503	148.0	35269200	3	(1,)	1948933.70249	755.2
34278.8129433	148.0	35269200	4	(1, 2)	2067941.37512	755.2
8069.34822992	148.0	35269200	4	(1, 4)	1058686.13633	755.2
60109.8258022	148.0	35269200	4	(1,)	2456539.98466	755.2
29848.1152008	149.0	35451000	1	(1, 2)	1619149.26214	767.2
7158.46300207	149.0	35451000	1	(1, 2, 1)	817577.538084	767.2
4279.04684588	149.0	35451000	1	(1, 4)	473696.200025	767.2
52628.8961698	149.0	35451000	1	(1,)	1940438.8635	767.2
25507.5112904	149.0	35451000	2	(1, 2)	1395690.77955	767.2
5131.5964584	149.0	35451000	2	(1, 2, 1)	630419.975595	767.2
14335.1384917	149.0	35451000	2	(1, 3)	1423783.4844	767.2
10283.05423	149.0	35451000	2	(1, 4)	1211863.84682	767.2
46780.5322722	149.0	35451000	2	(1,)	1734831.37311	767.2
17763.1185047	149.0	35451000	3	(1, 2)	1343004.76325	767.2
165.449651463	149.0	35451000	3	(1, 2, 1)	31033.297541	767.2
5566.77165127	149.0	35451000	3	(1, 3)	574773.684279	767.2
210.134295906	149.0	35451000	3	(1, 4)	34302.3527962	767.2
43931.6385829	149.0	35451000	3	(1,)	1782081.71029	767.2
35251.6885641	149.0	35451000	4	(1, 2)	1912273.02441	767.2
8437.87874981	149.0	35451000	4	(1, 4)	934084.445444	767.2
61097.5325905	149.0	35451000	4	(1,)	2252679.33267	767.2
26847.3119624	150.0	31390800	1	(1, 2)	1346599.78984	780.0
6638.70856835	150.0	31390800	1	(1, 2, 1)	658892.494395	780.0
3816.98068795	150.0	31390800	1	(1, 4)	371026.029023	780.0
46920.9326668	150.0	31390800	1	(1,)	1607035.03176	780.0
23164.3276753	150.0	31390800	2	(1, 2)	1175149.7118	780.0
4929.09170162	150.0	31390800	2	(1, 2, 1)	519570.614561	780.0
13136.6863725	150.0	31390800	2	(1, 3)	1198750.98337	780.0
9469.93701325	150.0	31390800	2	(1, 4)	969321.048713	780.0
41652.0959435	150.0	31390800	2	(1,)	1437360.83712	780.0
15258.5943484	150.0	31390800	3	(1, 2)	945515.279166	780.0
312.063691209	150.0	31390800	3	(1, 2, 1)	47152.3786367	780.0
5417.10370582	150.0	31390800	3	(1, 3)	568427.934836	780.0
389.150959098	150.0	31390800	3	(1, 4)	52974.0495199	780.0
37395.6720584	150.0	31390800	3	(1,)	1287891.34628	780.0
31631.0518186	150.0	31390800	4	(1, 2)	1586541.24447	780.0
7580.09703439	150.0	31390800	4	(1, 4)	736816.225231	780.0
54633.8700953	150.0	31390800	4	(1,)	1871202.00247	780.0
20361.1888695	151.0	23472400	1	(1, 2)	896654.917872	792.2
5187.74445827	151.0	23472400	1	(1, 2, 1)	503082.976503	792.2
2847.24965074	151.0	23472400	1	(1, 4)	272785.29103	792.2
35179.1225814	151.0	23472400	1	(1,)	1250844.44829	792.2
17601.0143166	151.0	23472400	2	(1, 2)	924277.900014	792.2
3787.24607704	151.0	23472400	2	(1, 2, 1)	390086.108924	792.2
10058.2323307	151.0	23472400	2	(1, 3)	748373.349331	792.2
7332.37788141	151.0	23472400	2	(1, 4)	740603.138114	792.2
31053.9844138	151.0	23472400	2	(1,)	1114308.07289	792.2
12051.1378668	151.0	23472400	3	(1, 2)	706619.350779	792.2
437.991217028	151.0	23472400	3	(1, 2, 1)	61678.8516789	792.2
3548.73698921	151.0	23472400	3	(1, 3)	390168.811235	792.2
397.543972684	151.0	23472400	3	(1, 4)	51608.8993632	792.2
28964.430714	151.0	23472400	3	(1,)	966640.372155	792.2
23930.3196828	151.0	23472400	4	(1, 2)	1053830.35182	792.2
5733.88390335	151.0	23472400	4	(1, 4)	549343.886617	792.2
41025.9950601	151.0	23472400	4	(1,)	1458738.43322	792.2
10903.6956495	152.0	12402800	1	(1, 2)	516649.311537	803.1
2869.91723046	152.0	12402800	1	(1, 2, 1)	292604.268455	803.1
1503.35098106	152.0	12402800	1	(1, 4)	152475.450965	803.1
18630.7391602	152.0	12402800	1	(1,)	640402.246445	803.1
9468.26250575	152.0	12402800	2	(1, 2)	465468.955206	803.1
2055.64056486	152.0	12402800	2	(1, 2, 1)	222574.934387	803.1
5419.82922254	152.0	12402800	2	(1, 3)	424775.270672	803.1
4006.80746313	152.0	12402800	2	(1, 4)	428763.273303	803.1
16362.9331031	152.0	12402800	2	(1,)	650962.685487	803.1
6741.30767319	152.0	12402800	3	(1, 2)	415984.043737	803.1
303.330638605	152.0	12402800	3	(1, 2, 1)	43471.8637002	803.1
2170.60690945	152.0	12402800	3	(1, 3)	246682.976782	803.1
206.332202027	152.0	12402800	3	(1, 4)	27725.3782297	803.1
15758.0877699	152.0	12402800	3	(1,)	556579.515684	803.1
12708.0550225	152.0	12402800	4	(1, 2)	602145.189058	803.1
3083.39657355	152.0	12402800	4	(1, 4)	312729.554827	803.1
21806.0271185	152.0	12402800	4	(1,)	749547.757214	803.1
30086.739906	153.0	36279200	1	(1, 2)	1303645.69395	813.7
8815.89960102	153.0	36279200	1	(1, 2, 1)	982957.029098	813.7
4304.61663192	153.0	36279200	1	(1, 4)	448946.565191	813.7
52674.2002059	153.0	36279200	1	(1,)	1685481.84748	813.7
28234.0269276	153.0	36279200	2	(1, 2)	1373838.16317	813.7
6005.40686081	153.0	36279200	2	(1, 2, 1)	668639.675863	813.7
16250.7854688	153.0	36279200	2	(1, 3)	1236652.07127	813.7
12128.3626795	153.0	36279200	2	(1, 4)	1265205.99505	813.7
47828.4913976	153.0	36279200	2	(1,)	1688734.72405	813.7
32440.4154131	153.0	36279200	3	(1, 2)	2014304.2711	813.7
6224.59763746	153.0	36279200	3	(1, 2, 1)	861124.350545	813.7
15855.3407634	153.0	36279200	3	(1, 3)	1790494.88836	813.7
5988.33513495	153.0	36279200	3	(1, 4)	786834.624953	813.7
54483.6940845	153.0	36279200	3	(1,)	2291082.37579	813.7
34861.9907064	153.0	36279200	4	(1, 2)	1510555.28811	813.7
9222.56824035	153.0	36279200	4	(1, 4)	1028299.85463	813.7
60240.2988356	153.0	36279200	4	(1,)	1927583.70848	813.7
19053.9108426	154.0	21432200	1	(1, 2)	776318.637568	824.1
5446.48279058	154.0	21432200	1	(1, 2, 1)	611887.953166	824.1
2596.68420227	154.0	21432200	1	(1, 4)	276027.171785	824.1
32373.1652535	154.0	21432200	1	(1,)	983375.61784	824.1
16004.1837051	154.0	21432200	2	(1, 2)	708367.673873	824.1
3720.60679918	154.0	21432200	2	(1, 2, 1)	422217.28506	824.1
9063.24372651	154.0	21432200	2	(1, 3)	606793.830989	824.1
7496.38683556	154.0	21432200	2	(1, 4)	855618.746246	824.1
27557.0017148	154.0	21432200	2	(1,)	900378.618117	824.1
19192.3176657	154.0	21432200	3	(1, 2)	1204362.14918	824.1
3879.17008776	154.0	21432200	3	(1, 2, 1)	509756.587625	824.1
9692.05435719	154.0	21432200	3	(1, 3)	1098481.36283	824.1
3555.08394613	154.0	21432200	3	(1, 4)	448983.809266	824.1
32488.1068497	154.0	21432200	3	(1,)	1384503.618	824.1
21700.5636408	154.0	21432200	4	(1, 2)	884151.927614	824.1
5303.40575856	154.0	21432200	4	(1, 4)	595813.889292	824.1
36519.6382674	154.0	21432200	4	(1,)	1109329.95162	824.1
8515.03864115	155.0	9554600	1	(1, 2)	347575.992948	834.6
2930.42031632	155.0	9554600	1	(1, 2, 1)	302050.174164	834.6
1145.59953465	155.0	9554600	1	(1, 4)	120617.290548	834.6
14994.1001578	155.0	9554600	1	(1,)	421696.952692	834.6
7699.12314936	155.0	9554600	2	(1, 2)	311143.536303	834.6
1637.01450131	155.0	9554600	2	(1, 2, 1)	184000.414034	834.6
4564.16262768	155.0	9554600	2	(1, 3)	273980.09019	834.6
3329.8084335	155.0	9554600	2	(1, 4)	371650.125011	834.6
12354.6670727	155.0	9554600	2	(1,)	372131.612753	834.6
8554.29243994	155.0	9554600	3	(1, 2)	526040.397429	834.6
1760.48214307	155.0	9554600	3	(1, 2, 1)	216254.727972	834.6
4404.59377464	155.0	9554600	3	(1, 3)	484869.857093	834.6
1601.39924042	155.0	9554600	3	(1, 4)	191009.05964	834.6
14453.4528146	155.0	9554600	3	(1,)	605756.66276	834.6
9007.95891159	155.0	9554600	4	(1, 2)	367696.541975	834.6
2767.95032357	155.0	9554600	4	(1, 4)	285303.740441	834.6
16793.5278414	155.0	9554600	4	(1,)	472304.402476	834.6
10644.2733801	156.0	11534200	1	(1, 2)	332426.771276	847.9
3999.49081243	156.0	11534200	1	(1, 2, 1)	305776.814307	847.9
1486.86333019	156.0	11534200	1	(1, 4)	123590.602363	847.9
16629.1793483	156.0	11534200	1	(1,)	415393.986356	847.9
9340.61252872	156.0	11534200	2	(1, 2)	298345.205593	847.9
2028.09781023	156.0	11534200	2	(1, 2, 1)	179966.979595	847.9
6212.30508762	156.0	11534200	2	(1, 3)	269763.256391	847.9
4721.20310062	156.0	11534200	2	(1, 4)	377685.483408	847.9
15477.5957991	156.0	11534200	2	(1,)	339023.173774	847.9
10339.9803493	156.0	11534200	3	(1, 2)	423817.126264	847.9
2189.4495294	156.0	11534200	3	(1, 2, 1)	197403.467875	847.9
5421.00389503	156.0	11534200	3	(1, 3)	357328.434469	847.9
1973.78859435	156.0	11534200	3	(1, 4)	174826.791888	847.9
17519.0700363	156.0	11534200	3	(1,)	573375.348047	847.9
11110.7550796	156.0	11534200	4	(1, 2)	346995.262679	847.9
3729.5766871	156.0	11534200	4	(1, 4)	285140.817063	847.9
17844.0318293	156.0	11534200	4	(1,)	445740.788464	847.9
20731.2819508	157.0	14988400	1	(1, 2)	684310.48537	860.4
8061.11664672	157.0	14988400	1	(1, 2, 1)	644037.816304	860.4
1947.83445469	157.0	14988400	1	(1, 4)	172269.371707	860.4
30670.5021759	157.0	14988400	1	(1,)	811017.775365	860.4
12017.3413687	157.0	14988400	2	(1, 2)	399229.768192	860.4
2633.80824418	157.0	14988400	2	(1, 2, 1)	248673.617676	860.4
8640.02316067	157.0	14988400	2	(1, 3)	387875.391337	860.4
6198.4064461	157.0	14988400	2	(1, 4)	503888.190003	860.4
17213.644205	157.0	14988400	2	(1,)	457426.535627	860.4
12522.5991819	157.0	14988400	3	(1, 2)	521814.523972	860.4
2772.6460266	157.0	14988400	3	(1, 2, 1)	248535.371663	860.4
6527.50701224	157.0	14988400	3	(1, 3)	427323.605416	860.4
2527.68024283	157.0	14988400	3	(1, 4)	224757.808332	860.4
21081.2264046	157.0	14988400	3	(1,)	635947.763518	860.4
21135.019033	157.0	14988400	4	(1, 2)	695909.127661	860.4
8935.72977896	157.0	14988400	4	(1, 4)	709239.982451	860.4
30874.9356881	157.0	14988400	4	(1,)	814850.856888	860.4
45907.405467	158.0	34077400	1	(1, 2)	1222358.65643	875.7
17230.439882	158.0	34077400	1	(1, 2, 1)	1086595.79936	875.7
4145.22828839	158.0	34077400	1	(1, 4)	299518.09272	875.7
64993.8164566	158.0	34077400	1	(1,)	1390479.0332	875.7
33979.527022	158.0	34077400	2	(1, 2)	911662.055579	875.7
