Init_flag	Elapsed_time	Temp_cum	DOY	Genotype	Num_plante	Surface_plante	Surface_visible	Surface_sol	GAI_tot	GAI_center	GAI_ind	GAI_prox	Position	Weakest_axis	PAR_weakest_axis
False	33.0	254.9	352	0	2	3.52317971591	2.18272737463	184.331797235	0.0446363503782	0.0446363503782	0.0473651840294	0.0444914000966	center	No	1.0
False	33.0	254.9	352	0	3	2.56633039773	1.54994478313	184.331797235	0.0446363503782	0.0446363503782	0.0336338017939	0.0444914000966	center	No	1.0
False	33.0	254.9	352	0	4	4.75265278295	2.28643094195	184.331797235	0.0446363503782	0.0446363503782	0.0496155514403	0.0444914000966	center	No	1.0
False	34.0	254.9	353	0	1	4.68091584549	2.20879558752	184.331797235	0.0446363503782	0.0446363503782	0.0479308642491	0.0444914000966	center	No	1.0
False	34.0	254.9	353	0	2	3.52317971591	2.18272737463	184.331797235	0.0446363503782	0.0446363503782	0.0473651840294	0.0444914000966	center	No	1.0
False	34.0	254.9	353	0	3	2.56633039773	1.54994478313	184.331797235	0.0446363503782	0.0446363503782	0.0336338017939	0.0444914000966	center	No	1.0
False	34.0	254.9	353	0	4	4.75265278295	2.28643094195	184.331797235	0.0446363503782	0.0446363503782	0.0496155514403	0.0444914000966	center	No	1.0
False	35.0	254.9	354	0	1	4.68091584549	2.20879558752	184.331797235	0.0446363503782	0.0446363503782	0.0479308642491	0.0444914000966	center	No	1.0
False	35.0	254.9	354	0	2	3.52317971591	2.18272737463	184.331797235	0.0446363503782	0.0446363503782	0.0473651840294	0.0444914000966	center	No	1.0
False	35.0	254.9	354	0	3	2.56633039773	1.54994478313	184.331797235	0.0446363503782	0.0446363503782	0.0336338017939	0.0444914000966	center	No	1.0
False	35.0	254.9	354	0	4	4.75265278295	2.28643094195	184.331797235	0.0446363503782	0.0446363503782	0.0496155514403	0.0444914000966	center	No	1.0
False	36.0	254.9	355	0	1	4.68091584549	2.20879558752	184.331797235	0.0446363503782	0.0446363503782	0.0479308642491	0.0444914000966	center	No	1.0
False	36.0	254.9	355	0	2	3.52317971591	2.18272737463	184.331797235	0.0446363503782	0.0446363503782	0.0473651840294	0.0444914000966	center	No	1.0
False	36.0	254.9	355	0	3	2.56633039773	1.54994478313	184.331797235	0.0446363503782	0.0446363503782	0.0336338017939	0.0444914000966	center	No	1.0
False	36.0	254.9	355	0	4	4.75265278295	2.28643094195	184.331797235	0.0446363503782	0.0446363503782	0.0496155514403	0.0444914000966	center	No	1.0
False	37.0	254.9	356	0	1	4.68091584549	2.20879558752	184.331797235	0.0446363503782	0.0446363503782	0.0479308642491	0.0444914000966	center	No	1.0
False	37.0	254.9	356	0	2	3.52317971591	2.18272737463	184.331797235	0.0446363503782	0.0446363503782	0.0473651840294	0.0444914000966	center	No	1.0
False	37.0	254.9	356	0	3	2.56633039773	1.54994478313	184.331797235	0.0446363503782	0.0446363503782	0.0336338017939	0.0444914000966	center	No	1.0
False	37.0	254.9	356	0	4	4.75265278295	2.28643094195	184.331797235	0.0446363503782	0.0446363503782	0.0496155514403	0.0444914000966	center	No	1.0
False	38.0	254.9	357	0	1	4.68091584549	2.20879558752	184.331797235	0.0446363503782	0.0446363503782	0.0479308642491	0.0444914000966	center	No	1.0
False	38.0	254.9	357	0	2	3.52317971591	2.18272737463	184.331797235	0.0446363503782	0.0446363503782	0.0473651840294	0.0444914000966	center	No	1.0
False	38.0	254.9	357	0	3	2.56633039773	1.54994478313	184.331797235	0.0446363503782	0.0446363503782	0.0336338017939	0.0444914000966	center	No	1.0
False	38.0	254.9	357	0	4	4.75265278295	2.28643094195	184.331797235	0.0446363503782	0.0446363503782	0.0496155514403	0.0444914000966	center	No	1.0
False	39.0	254.9	358	0	1	4.68091584549	2.20879558752	184.331797235	0.0446363503782	0.0446363503782	0.0479308642491	0.0444914000966	center	No	1.0
False	39.0	254.9	358	0	2	3.52317971591	2.18272737463	184.331797235	0.0446363503782	0.0446363503782	0.0473651840294	0.0444914000966	center	No	1.0
False	39.0	254.9	358	0	3	2.56633039773	1.54994478313	184.331797235	0.0446363503782	0.0446363503782	0.0336338017939	0.0444914000966	center	No	1.0
False	39.0	254.9	358	0	4	4.75265278295	2.28643094195	184.331797235	0.0446363503782	0.0446363503782	0.0496155514403	0.0444914000966	center	No	1.0
False	40.0	256.9	359	0	1	4.74815450527	2.26278068213	184.331797235	0.0451685731877	0.0451685731877	0.0491023408023	0.0450185982942	center	No	1.0
False	40.0	256.9	359	0	2	3.55582232955	2.18134402086	184.331797235	0.0451685731877	0.0451685731877	0.0473351652526	0.0450185982942	center	No	1.0
False	40.0	256.9	359	0	3	2.62316335227	1.58702024689	184.331797235	0.0451685731877	0.0451685731877	0.0344383393576	0.0450185982942	center	No	1.0
False	40.0	256.9	359	0	4	4.81898510114	2.29485932435	184.331797235	0.0451685731877	0.0451685731877	0.0497984473385	0.0450185982942	center	No	1.0
False	41.0	257.7	360	0	1	4.77504996918	2.28944713709	184.331797235	0.0454100968229	0.0454100968229	0.049681002875	0.0452566585713	center	No	1.0
False	41.0	257.7	360	0	2	3.568879375	2.1807929348	184.331797235	0.0454100968229	0.0454100968229	0.0473232066852	0.0452566585713	center	No	1.0
False	41.0	257.7	360	0	3	2.64589653409	1.60192243609	184.331797235	0.0454100968229	0.0454100968229	0.0347617168632	0.0452566585713	center	No	1.0
False	41.0	257.7	360	0	4	4.84551802841	2.29836225198	184.331797235	0.0454100968229	0.0454100968229	0.049874460868	0.0452566585713	center	No	1.0
False	42.0	257.7	361	0	1	4.77504996918	2.28944713709	184.331797235	0.0454100968229	0.0454100968229	0.049681002875	0.0452566585713	center	No	1.0
False	42.0	257.7	361	0	2	3.568879375	2.1807929348	184.331797235	0.0454100968229	0.0454100968229	0.0473232066852	0.0452566585713	center	No	1.0
False	42.0	257.7	361	0	3	2.64589653409	1.60192243609	184.331797235	0.0454100968229	0.0454100968229	0.0347617168632	0.0452566585713	center	No	1.0
False	42.0	257.7	361	0	4	4.84551802841	2.29836225198	184.331797235	0.0454100968229	0.0454100968229	0.049874460868	0.0452566585713	center	No	1.0
False	43.0	257.7	362	0	1	4.77504996918	2.28944713709	184.331797235	0.0454100968229	0.0454100968229	0.049681002875	0.0452566585713	center	No	1.0
False	43.0	257.7	362	0	2	3.568879375	2.1807929348	184.331797235	0.0454100968229	0.0454100968229	0.0473232066852	0.0452566585713	center	No	1.0
False	43.0	257.7	362	0	3	2.64589653409	1.60192243609	184.331797235	0.0454100968229	0.0454100968229	0.0347617168632	0.0452566585713	center	No	1.0
False	43.0	257.7	362	0	4	4.84551802841	2.29836225198	184.331797235	0.0454100968229	0.0454100968229	0.049874460868	0.0452566585713	center	No	1.0
False	44.0	257.7	363	0	1	4.77504996918	2.28944713709	184.331797235	0.0454100968229	0.0454100968229	0.049681002875	0.0452566585713	center	No	1.0
False	44.0	257.7	363	0	2	3.568879375	2.1807929348	184.331797235	0.0454100968229	0.0454100968229	0.0473232066852	0.0452566585713	center	No	1.0
False	44.0	257.7	363	0	3	2.64589653409	1.60192243609	184.331797235	0.0454100968229	0.0454100968229	0.0347617168632	0.0452566585713	center	No	1.0
False	44.0	257.7	363	0	4	4.84551802841	2.29836225198	184.331797235	0.0454100968229	0.0454100968229	0.049874460868	0.0452566585713	center	No	1.0
False	45.0	258.3	364	0	1	4.79522156711	2.3007248486	184.331797235	0.0455443407387	0.0455443407387	0.0499257292147	0.0453908914134	center	No	1.0
False	45.0	258.3	364	0	2	3.57867215909	2.18038046606	184.331797235	0.0455443407387	0.0455443407387	0.0473142561135	0.0453908914134	center	No	1.0
False	45.0	258.3	364	0	3	2.66294642045	1.61312607938	184.331797235	0.0455443407387	0.0455443407387	0.0350048359225	0.0453908914134	center	No	1.0
False	45.0	258.3	364	0	4	4.86541772386	2.3010387882	184.331797235	0.0455443407387	0.0455443407387	0.049932541704	0.0453908914134	center	No	1.0
False	46.0	262.6	365	0	1	4.93978468564	2.32021393959	184.331797235	0.046184185903	0.046184185903	0.0503486424891	0.0460491267308	center	No	1.0
False	46.0	262.6	365	0	2	3.64885377841	2.17744565543	184.331797235	0.046184185903	0.046184185903	0.0472505707227	0.0460491267308	center	No	1.0
False	46.0	262.6	365	0	3	2.78513727273	1.69409614098	184.331797235	0.046184185903	0.046184185903	0.0367618862593	0.0460491267308	center	No	1.0
False	46.0	262.6	365	0	4	5.00803220795	2.32145825533	184.331797235	0.046184185903	0.046184185903	0.0503756441407	0.0460491267308	center	No	1.0
False	47.0	266.6	1	0	1	5.0742620052	2.34034159621	184.331797235	0.0468067816451	0.0468067816451	0.0507854126378	0.0466888569298	center	No	1.0
False	47.0	266.6	1	0	2	3.71413900568	2.17474902808	184.331797235	0.0468067816451	0.0468067816451	0.0471920539093	0.0466888569298	center	No	1.0
False	47.0	266.6	1	0	3	2.89880318182	1.77048432612	184.331797235	0.0468067816451	0.0468067816451	0.0384195098768	0.0466888569298	center	No	1.0
False	47.0	266.6	1	0	4	5.14069684432	2.34240323301	184.331797235	0.0468067816451	0.0468067816451	0.0508301501563	0.0466888569298	center	No	1.0
False	48.0	266.6	2	0	1	5.0742620052	2.34034159621	184.331797235	0.047034760102	0.047034760102	0.0507854126378	0.0469111442946	center	No	1.0
False	48.0	266.6	2	0	2	5.02946192386	2.21677270678	184.331797235	0.047034760102	0.047034760102	0.0481039677372	0.0469111442946	center	No	1.0
False	48.0	266.6	2	0	3	2.89880318182	1.77048432612	184.331797235	0.047034760102	0.047034760102	0.0384195098768	0.0469111442946	center	No	1.0
False	48.0	266.6	2	0	4	5.14069684432	2.34240323301	184.331797235	0.047034760102	0.047034760102	0.0508301501563	0.0469111442946	center	No	1.0
False	49.0	266.6	3	0	1	5.0742620052	2.34034159621	184.331797235	0.0468067816451	0.0468067816451	0.0507854126378	0.0466888569298	center	No	1.0
False	49.0	266.6	3	0	2	4.51944617386	2.17474902808	184.331797235	0.0468067816451	0.0468067816451	0.0471920539093	0.0466888569298	center	No	1.0
False	49.0	266.6	3	0	3	2.89880318182	1.77048432612	184.331797235	0.0468067816451	0.0468067816451	0.0384195098768	0.0466888569298	center	No	1.0
False	49.0	266.6	3	0	4	5.14069684432	2.34240323301	184.331797235	0.0468067816451	0.0468067816451	0.0508301501563	0.0466888569298	center	No	1.0
False	50.0	266.6	4	0	1	5.0742620052	2.34034159621	184.331797235	0.0468067816451	0.0468067816451	0.0507854126378	0.0466888569298	center	No	1.0
False	50.0	266.6	4	0	2	4.51944617386	2.17474902808	184.331797235	0.0468067816451	0.0468067816451	0.0471920539093	0.0466888569298	center	No	1.0
False	50.0	266.6	4	0	3	2.89880318182	1.77048432612	184.331797235	0.0468067816451	0.0468067816451	0.0384195098768	0.0466888569298	center	No	1.0
False	50.0	266.6	4	0	4	5.14069684432	2.34240323301	184.331797235	0.0468067816451	0.0468067816451	0.0508301501563	0.0466888569298	center	No	1.0
False	51.0	268.8	5	0	1	5.14822453096	2.3522327832	184.331797235	0.0473876643517	0.0473876643517	0.0510434513955	0.0472735031185	center	No	1.0
