Elapsed_time	Temp_cum	Temperature	Num_plante	Genotype	Num_talle	Num_cohorte	Num_rang	Blade_sumtemp	Blade_width	Blade_length	Blade_visible_length	Blade_final_length	Blade_visible_surface	Blade_surface	Blade_PAR	Senesc_flag	Photosynthetic
16.0	163.5	8.0	2	Maxwell	(1,)	-1	1	153.1	0.393	4.09880050505	3.59880050505	7.0	0.726578598485	1.20812144886	0.0	False	True
16.0	163.5	8.0	3	Maxwell	(1,)	-1	1	157.6	0.393	2.33428030303	1.83428030303	7.0	0.0472243429437	0.688029119318	0.0	False	True
16.0	163.5	8.0	4	Maxwell	(1,)	-1	1	154.4	0.393	4.91130050505	4.41130050505	7.0	1.04589109848	1.44760582386	0.0	False	True
16.0	163.5	8.0	4	Maxwell	(1,)	-1	2	200.9	0.4722	0.868686868687	0.368686868687	7.8	0.00205724837732	0.307645454545	0.0	False	True
17.0	176.3	12.8	1	Maxwell	(1,)	-1	1	152.9	0.393	5.03440656566	4.53440656566	7.0	1.0942717803	1.48389133523	0.0	False	True
17.0	176.3	12.8	1	Maxwell	(1,)	-1	2	189.6	0.4722	1.45858585859	0.958585858586	7.8	0.0139069990307	0.516558181818	0.0	False	True
17.0	176.3	12.8	2	Maxwell	(1,)	-1	1	153.1	0.393	4.6240530303	4.1240530303	7.0	0.933002840909	1.36293963068	0.0	False	True
17.0	176.3	12.8	3	Maxwell	(1,)	-1	1	157.6	0.393	2.85953282828	2.35953282828	7.0	0.0781423678901	0.842847301136	0.0	False	True
17.0	176.3	12.8	4	Maxwell	(1,)	-1	1	154.4	0.393	5.4365530303	4.9365530303	7.0	1.25231534091	1.60242400568	0.0	False	True
17.0	176.3	12.8	4	Maxwell	(1,)	-1	2	200.9	0.4722	1.45858585859	0.958585858586	7.8	0.0139069990307	0.516558181818	0.0	False	True
18.0	190.2	13.9	1	Maxwell	(1,)	-1	1	152.9	0.393	5.6047979798	5.1047979798	7.0	1.31843560606	1.65201420455	0.0	False	True
18.0	190.2	13.9	1	Maxwell	(1,)	-1	2	189.6	0.4722	2.09917929293	1.59917929293	7.8	0.0387048781039	0.743424346591	0.0	False	True
18.0	190.2	13.9	2	Maxwell	(1,)	-1	1	153.1	0.393	5.19444444444	4.69444444444	7.0	1.15716666667	1.5310625	0.0	False	True
18.0	190.2	13.9	2	Maxwell	(1,)	-1	2	200.6	0.4722	1.14059343434	0.640593434343	7.8	0.00621063998411	0.403941164773	0.0	False	True
18.0	190.2	13.9	3	Maxwell	(1,)	-1	1	157.6	0.393	3.42992424242	2.92992424242	7.0	0.120488972645	1.01097017045	0.0	False	True
18.0	190.2	13.9	4	Maxwell	(1,)	-1	1	154.4	0.393	6.00694444444	5.50694444444	7.0	1.47647916667	1.770546875	0.0	False	True
18.0	190.2	13.9	4	Maxwell	(1,)	-1	2	200.9	0.4722	2.09917929293	1.59917929293	7.8	0.0387048781039	0.743424346591	0.0	False	True
19.0	201.7	11.5	1	Maxwell	(1,)	-1	1	152.9	0.393	6.07670454545	5.57670454545	7.0	1.50389488636	1.79110866477	0.0	False	True
19.0	201.7	11.5	1	Maxwell	(1,)	-1	2	189.6	0.4722	2.62916666667	2.12916666667	7.8	0.068610519164	0.931119375	0.0	False	True
19.0	201.7	11.5	2	Maxwell	(1,)	-1	1	153.1	0.393	5.6663510101	5.1663510101	7.0	1.34262594697	1.67015696023	0.0	False	True
19.0	201.7	11.5	2	Maxwell	(1,)	-1	2	200.6	0.4722	1.67058080808	1.17058080808	7.8	0.0207383494237	0.591636193182	0.0	False	True
19.0	201.7	11.5	3	Maxwell	(1,)	-1	1	157.6	0.393	3.90183080808	3.40183080808	7.0	0.162427641743	1.15006463068	0.0	False	True
19.0	201.7	11.5	4	Maxwell	(1,)	-1	1	154.4	0.393	6.4788510101	5.9788510101	7.0	1.66193844697	1.90964133523	0.0	False	True
19.0	201.7	11.5	4	Maxwell	(1,)	-1	2	200.9	0.4722	2.62916666667	2.12916666667	7.8	0.068610519164	0.931119375	0.0	False	True
20.0	208.9	7.2	1	Maxwell	(1,)	-1	1	152.9	0.393	6.37215909091	5.87215909091	7.0	1.62000852273	1.87819389205	0.0	False	True
20.0	208.9	7.2	1	Maxwell	(1,)	-1	2	189.6	0.4722	2.96098484848	2.46098484848	7.8	0.0916619872319	1.04863278409	0.0	False	True
20.0	208.9	7.2	2	Maxwell	(1,)	-1	1	153.1	0.393	5.96180555556	5.46180555556	7.0	1.45873958333	1.7572421875	0.0	False	True
20.0	208.9	7.2	2	Maxwell	(1,)	-1	2	200.6	0.4722	2.0023989899	1.5023989899	7.8	0.0341618950857	0.709149602273	0.0	False	True
