Nom;de;la;demande:Grignon;;;
Pas;de;temps:Journalier;;;;
Date;de;début:01/09/1999;;;;
Date;de;fin:31/08/2000;;;;
Station(s):France;;;;;;
;;;;;;
RG:RAYONNEMENT;GLOBAL;(JOULES/CM2);;;;
TM:TEMPERATURE;MOYENNE;(DEGRES;CELSIUS);;;
PAR:2.02*10000*X;;;;;;
NUM_POSTE;year;month;day;TM;RG;PAR
France;1901;1;3;3.6;542.8;10964560
France;1901;1;4;3.6;537;10847400
France;1901;1;5;4.3909090909;533.4;10774680
France;1901;1;6;5.2727272727;641;12948200
France;1901;1;7;5.3727272727;473.1;9556620
France;1901;1;8;5.3181818182;588.4;11885680
France;1901;1;9;5.2636363636;492.9;9956580
France;1901;1;10;4.9636363636;580.3;11722060
France;1901;1;11;5.6272727273;573.9;11592780
France;1901;1;12;5.8;664.1;13414820
France;1901;1;13;5.9272727273;701.5;14170300
France;1901;1;14;4.1545454545;615.5;12433100
France;1901;1;15;3.9454545455;740.6;14960120
France;1901;1;16;4.6818181818;397.9;8037580
France;1901;1;17;5.5636363636;711;14362200
France;1901;1;18;5.8090909091;614.7;12416940
France;1901;1;19;6.3;546.9;11047380
France;1901;1;20;5.9090909091;690.7;13952140
France;1901;1;21;4.9454545455;774.2;15638840
France;1901;1;22;4.5454545455;682.7;13790540
France;1901;1;23;4.2818181818;702.8;14196560
France;1901;1;24;3.3181818182;685.4;13845080
France;1901;1;25;2.3181818182;772.3;15600460
France;1901;1;26;2.0818181818;638.8;12903760
France;1901;1;27;1.7;634.5;12816900
France;1901;1;28;2.7181818182;791.5;15988300
France;1901;1;29;2.5545454545;662.4;13380480
France;1901;1;30;2.5;796.2;16083240
France;1901;1;31;2.9;668;13493600
France;1901;2;1;3.4090909091;696.3;14065260
France;1901;2;2;3.2181818182;850.3;17176060
France;1901;2;3;3.5636363636;749.6;15141920
France;1901;2;4;4.8454545455;883.1;17838620
France;1901;2;5;5.5727272727;805.9;16279180
France;1901;2;6;5.4090909091;933.2;18850640
France;1901;2;7;3.4545454545;879.5;17765900
France;1901;2;8;3.9;904.7;18274940
France;1901;2;9;3.2272727273;878.4;17743680
France;1901;2;10;3.2818181818;852.7;17224540
France;1901;2;11;4.3272727273;811.6;16394320
France;1901;2;12;3.6363636364;975.6;19707120
France;1901;2;13;3.3636363636;925.3;18691060
France;1901;2;14;3.8727272727;824.6;16656920
France;1901;2;15;4.2272727273;1022.6363636364;20657254.5454545
France;1901;2;16;4.1727272727;1073.3;21680660
France;1901;2;17;4.6272727273;873;17634600
France;1901;2;18;5;961.4;19420280
France;1901;2;19;4.5545454545;1103.2;22284640
France;1901;2;20;4.6727272727;1220.3;24650060
France;1901;2;21;4.2818181818;1131.6;22858320
France;1901;2;22;4.5727272727;1053.1;21272620
France;1901;2;23;4.7909090909;1323.4;26732680
France;1901;2;24;5.7727272727;1140;23028000
France;1901;2;25;5.6272727273;968.7;19567740
France;1901;2;26;4.5454545455;1160.9;23450180
France;1901;2;27;4.2181818182;1104.5;22310900
France;1901;2;28;4.6454545455;1092.3;22064460
