Nom de la demande:Grignon;;;;;;
Pas de temps:Journalier;;;;;;
Date de d̩but:01/09/2008;;;;;;
Date de fin:17/05/2015;;;;;;
Station(s):78615002;;;;;;
;;;;;;
RG:RAYONNEMENT GLOBAL (JOULES/CM2);;;;;;
TM:TEMPERATURE MOYENNE (DEGRES CELSIUS);;;;;;
;;;;;;
NOM_POSTE;year;month;day;RG;TM;PAR
Grignon;1998;9;1;1670;21.4;33734000
Grignon;1998;9;2;792;19.4;15998400
Grignon;1998;9;3;715;17;14443000
Grignon;1998;9;4;471;14.4;9514200
Grignon;1998;9;5;1304;15.9;26340800
Grignon;1998;9;6;1652;16.6;33370400
Grignon;1998;9;7;1233;17.8;24906600
Grignon;1998;9;8;982;17.2;19836400
Grignon;1998;9;9;961;18.9;19412200
Grignon;1998;9;10;1245;17.1;25149000
Grignon;1998;9;11;1063;13.6;21472600
Grignon;1998;9;12;1104;11.1;22300800
Grignon;1998;9;13;679;9.8;13715800
Grignon;1998;9;14;1021;11.5;20624200
Grignon;1998;9;15;617;13.5;12463400
Grignon;1998;9;16;1153;14.2;23290600
Grignon;1998;9;17;1253;13;25310600
Grignon;1998;9;18;1688;13.3;34097600
Grignon;1998;9;19;1678;15.1;33895600
Grignon;1998;9;20;1382;15.3;27916400
Grignon;1998;9;21;1706;15.3;34461200
Grignon;1998;9;22;1603;14.6;32380600
Grignon;1998;9;23;1536;16;31027200
Grignon;1998;9;24;1270;16.5;25654000
Grignon;1998;9;25;1335;17.6;26967000
Grignon;1998;9;26;420;15.1;8484000
Grignon;1998;9;27;451;13.4;9110200
Grignon;1998;9;28;761;14.9;15372200
Grignon;1998;9;29;642;14.6;12968400
Grignon;1998;9;30;1129;15.1;22805800
Grignon;1998;10;1;694;12.8;14018800
Grignon;1998;10;2;374;10.8;7554800
Grignon;1998;10;3;1221;8.3;24664200
Grignon;1998;10;4;253;8.4;5110600
Grignon;1998;10;5;558;8.2;11271600
Grignon;1998;10;6;262;7.8;5292400
Grignon;1998;10;7;473;8.9;9554600
Grignon;1998;10;8;203;9.8;4100600
Grignon;1998;10;9;428;8.9;8645600
Grignon;1998;10;10;576;11.9;11635200
Grignon;1998;10;11;235;11.4;4747000
Grignon;1998;10;12;1031;11.5;20826200
Grignon;1998;10;13;508;11.6;10261600
Grignon;1998;10;14;668;15.6;13493600
Grignon;1998;10;15;442;13.2;8928400
Grignon;1998;10;16;422;14.2;8524400
Grignon;1998;10;17;431;13;8706200
Grignon;1998;10;18;934;9.3;18866800
Grignon;1998;10;19;980;9.1;19796000
Grignon;1998;10;20;1002;9.7;20240400
Grignon;1998;10;21;680;12.8;13736000
Grignon;1998;10;22;781;15.2;15776200
Grignon;1998;10;23;167;14.1;3373400
Grignon;1998;10;24;161;11.4;3252200
Grignon;1998;10;25;851;10.9;17190200
Grignon;1998;10;26;567;8.3;11453400
Grignon;1998;10;27;634;11.9;12806800
Grignon;1998;10;28;301;14.7;6080200
Grignon;1998;10;29;727;10.1;14685400
Grignon;1998;10;30;172;8.2;3474400
Grignon;1998;10;31;290;9.6;5858000
Grignon;1998;11;1;589;9.3;11897800
Grignon;1998;11;2;385;8;7777000
Grignon;1998;11;3;824;9.1;16644800
Grignon;1998;11;4;469;6;9473800
Grignon;1998;11;5;930;5.6;18786000
Grignon;1998;11;6;448;8.6;9049600
Grignon;1998;11;7;745;6;15049000
Grignon;1998;11;8;334;9.2;6746800
Grignon;1998;11;9;285;12.8;5757000
Grignon;1998;11;10;576;9.5;11635200
Grignon;1998;11;11;719;5.4;14523800
Grignon;1998;11;12;416;6.1;8403200
Grignon;1998;11;13;254;6.3;5130800
Grignon;1998;11;14;393;5.9;7938600
Grignon;1998;11;15;525;6.5;10605000
Grignon;1998;11;16;532;3.8;10746400
Grignon;1998;11;17;695;1.4;14039000
