Nom;de;la;demande:Grignon;;;
Pas;de;temps:Journalier;;;;
Date;de;début:01/09/1999;;;;
Date;de;fin:31/08/2000;;;;
Station(s):France;;;;;;
;;;;;;
RG:RAYONNEMENT;GLOBAL;(JOULES/CM2);;;;
TM:TEMPERATURE;MOYENNE;(DEGRES;CELSIUS);;;
PAR:2.02*10000*X;;;;;;
NUM_POSTE;year;month;day;TM;RG;PAR
France;1900;12;18;2.2909090909;234.7;4740940
France;1900;12;19;2.7818181818;275.8;5571160
France;1900;12;20;3.1727272727;180.8;3652160
France;1900;12;21;3.8;180.7;3650140
France;1900;12;22;4.4545454545;186.2;3761240
France;1900;12;23;5.1909090909;178.2;3599640
France;1900;12;24;5.1272727273;186.9;3775380
France;1900;12;25;4.5181818182;190.2;3842040
France;1900;12;26;3.1454545455;295.3;5965060
France;1900;12;27;3.1272727273;264.6;5344920
France;1900;12;28;2.8454545455;293.6;5930720
France;1900;12;29;3.7363636364;254.3;5136860
France;1900;12;30;4.8363636364;218.1;4405620
France;1900;12;31;5.6818181818;170.3;3440060
France;1901;1;1;4.9272727273;168;3393600
France;1901;1;2;3.5363636364;273.1;5516620
France;1901;1;3;3.6;214.4;4330880
France;1901;1;4;3.6;247.5;4999500
France;1901;1;5;4.3909090909;215.1;4345020
France;1901;1;6;5.2727272727;228.3;4611660
France;1901;1;7;5.3727272727;247.3;4995460
France;1901;1;8;5.3181818182;259.8;5247960
France;1901;1;9;5.2636363636;184.7;3730940
France;1901;1;10;4.9636363636;240.1;4850020
France;1901;1;11;5.6272727273;228.1;4607620
France;1901;1;12;5.8;227.3;4591460
France;1901;1;13;5.9272727273;270.3;5460060
France;1901;1;14;4.1545454545;271.2;5478240
France;1901;1;15;3.9454545455;262.1;5294420
France;1901;1;16;4.6818181818;343.3;6934660
France;1901;1;17;5.5636363636;373.7;7548740
France;1901;1;18;5.8090909091;328.8;6641760
France;1901;1;19;6.3;205;4141000
France;1901;1;20;5.9090909091;253.6;5122720
France;1901;1;21;4.9454545455;267.8;5409560
France;1901;1;22;4.5454545455;253.3;5116660
France;1901;1;23;4.2818181818;233.1;4708620
France;1901;1;24;3.3181818182;324.5;6554900
France;1901;1;25;2.3181818182;318.7;6437740
France;1901;1;26;2.0818181818;340.9;6886180
France;1901;1;27;1.7;334.8;6762960
France;1901;1;28;2.7181818182;310.9;6280180
France;1901;1;29;2.5545454545;268.2;5417640
France;1901;1;30;2.5;349.5;7059900
France;1901;1;31;2.9;303.9;6138780
France;1901;2;1;3.4090909091;260.8;5268160
France;1901;2;2;3.2181818182;421.7;8518340
France;1901;2;3;3.5636363636;504.3;10186860
France;1901;2;4;4.8454545455;368.5;7443700
France;1901;2;5;5.5727272727;324.7;6558940
France;1901;2;6;5.4090909091;394.6;7970920
France;1901;2;7;3.4545454545;432.4;8734480
France;1901;2;8;3.9;438.5;8857700
France;1901;2;9;3.2272727273;438.9;8865780
France;1901;2;10;3.2818181818;492;9938400
France;1901;2;11;4.3272727273;485.8;9813160
France;1901;2;12;3.6363636364;615.7;12437140
France;1901;2;13;3.3636363636;465;9393000
France;1901;2;14;3.8727272727;494;9978800
France;1901;2;15;4.2272727273;429.9;8683980
France;1901;2;16;4.1727272727;591.9;11956380
France;1901;2;17;4.6272727273;477.6;9647520
France;1901;2;18;5;521.6;10536320
France;1901;2;19;4.5545454545;630.8;12742160
France;1901;2;20;4.6727272727;477.9;9653580
France;1901;2;21;4.2818181818;544.7;11002940
France;1901;2;22;4.5727272727;609.5;12311900
France;1901;2;23;4.7909090909;507.5;10251500
France;1901;2;24;5.7727272727;576.4;11643280
France;1901;2;25;5.6272727273;529.4;10693880
France;1901;2;26;4.5454545455;527.4;10653480
France;1901;2;27;4.2181818182;596.4;12047280
France;1901;2;28;4.6454545455;526;10625200
France;1901;2;29;6.8;387;7817400
France;1901;3;1;4.5545454545;602.2;12164440
France;1901;3;2;4.8545454545;581.8;11752360
France;1901;3;3;4.9;897.3;18125460
France;1901;3;4;4.5909090909;883.1;17838620
France;1901;3;5;4.4727272727;912.9;18440580
France;1901;3;6;4.7545454545;915.3;18489060
France;1901;3;7;5.0545454545;887.5;17927500
France;1901;3;8;6.6727272727;963;19452600
France;1901;3;9;6.7454545455;876.7;17709340
France;1901;3;10;5.9363636364;870.5;17584100
France;1901;3;11;5.9272727273;887.1;17919420
France;1901;3;12;5.7545454545;986;19917200
France;1901;3;13;6.1545454545;923.4;18652680
France;1901;3;14;7.0181818182;1018.9;20581780
France;1901;3;15;8.5181818182;1158.8;23407760
France;1901;3;16;9.1909090909;1132.7;22880540
France;1901;3;17;8.5545454545;907.5;18331500
France;1901;3;18;7.9363636364;961.6;19424320
France;1901;3;19;7.5363636364;922.6;18636520
France;1901;3;20;7.9636363636;1040.5;21018100
France;1901;3;21;7.4818181818;1010.8;20418160
France;1901;3;22;7.4363636364;1170;23634000
France;1901;3;23;7.3727272727;998.4;20167680
France;1901;3;24;8.0181818182;1043;21068600
France;1901;3;25;8.3909090909;1134.5;22916900
France;1901;3;26;8.6727272727;1079;21795800
France;1901;3;27;8.6545454545;907.7;18335540
France;1901;3;28;8.5818181818;1097.5;22169500
France;1901;3;29;9.2727272727;1091.5;22048300
France;1901;3;30;8.9454545455;1042.5;21058500
France;1901;3;31;9.2181818182;1047.3;21155460
France;1901;4;1;9.8818181818;1365.6;27585120
France;1901;4;2;10.6;1355.4;27379080
France;1901;4;3;9.9909090909;1001.8;20236360
France;1901;4;4;8.1090909091;1053.4;21278680
France;1901;4;5;8.4;1249.9;25247980
France;1901;4;6;9.4909090909;1532;30946400
France;1901;4;7;9.1545454545;1448.3333333333;29256333.3333333
France;1901;4;8;7.9636363636;1438.1;29049620
France;1901;4;9;9.2363636364;1465.8;29609160
France;1901;4;10;10;1608.7;32495740
France;1901;4;11;9.7545454545;1402.1;28322420
France;1901;4;12;9.9727272727;1340.7;27082140
France;1901;4;13;10.3727272727;1319.2;26647840
France;1901;4;14;11.5818181818;1625.7;32839140
France;1901;4;15;10.6909090909;1581.7;31950340
France;1901;4;16;10.2272727273;1453.9;29368780
