Nom;de;la;demande:Grignon;;;
Pas;de;temps:Journalier;;;;
Date;de;début:01/09/1999;;;;
Date;de;fin:31/08/2000;;;;
Station(s):France;;;;;;
;;;;;;
RG:RAYONNEMENT;GLOBAL;(JOULES/CM2);;;;
TM:TEMPERATURE;MOYENNE;(DEGRES;CELSIUS);;;
PAR:2.02*10000*X;;;;;;
NUM_POSTE;year;month;day;TM;RG;PAR
France;1900;12;26;3.1454545455;397.0625;8020662.5
France;1900;12;27;3.1272727273;392.3625;7925722.5
France;1900;12;28;2.8454545455;372.2875;7520207.5
France;1900;12;29;3.7363636364;387.4125;7825732.5
France;1900;12;30;4.8363636364;371.6;7506320
France;1900;12;31;5.6818181818;296.1125;5981472.5
France;1901;1;1;4.9272727273;293.8875;5936527.5
France;1901;1;2;3.5363636364;368.1875;7437387.5
France;1901;1;3;3.6;331.55;6697310
France;1901;1;4;3.6;372.6875;7528287.5
France;1901;1;5;4.3909090909;336.6875;6801087.5
France;1901;1;6;5.2727272727;368.4625;7442942.5
France;1901;1;7;5.3727272727;345.7125;6983392.5
France;1901;1;8;5.3181818182;370.55;7485110
France;1901;1;9;5.2636363636;324.3125;6551112.5
France;1901;1;10;4.9636363636;380.45;7685090
France;1901;1;11;5.6272727273;383.3;7742660
France;1901;1;12;5.8;380.9;7694180
France;1901;1;13;5.9272727273;432.0875;8728167.5
France;1901;1;14;4.1545454545;424.0375;8565557.5
France;1901;1;15;3.9454545455;426.825;8621865
France;1901;1;16;4.6818181818;372.1125;7516672.5
France;1901;1;17;5.5636363636;489.7375;9892697.5
France;1901;1;18;5.8090909091;437.8125;8843812.5
France;1901;1;19;6.3;370.6375;7486877.5
France;1901;1;20;5.9090909091;429.05;8666810
France;1901;1;21;4.9454545455;467.1;9435420
France;1901;1;22;4.5454545455;430.425;8694585
France;1901;1;23;4.2818181818;440.725;8902645
France;1901;1;24;3.3181818182;449.675;9083435
France;1901;1;25;2.3181818182;499.625;10092425
France;1901;1;26;2.0818181818;459.675;9285435
France;1901;1;27;1.7;453.275;9156155
France;1901;1;28;2.7181818182;498.725;10074245
France;1901;1;29;2.5545454545;431.125;8708725
France;1901;1;30;2.5;507.4875;10251247.5
France;1901;1;31;2.9;481.1125;9718472.5
France;1901;2;1;3.4090909091;461.925;9330885
France;1901;2;2;3.2181818182;570.2625;11519302.5
France;1901;2;3;3.5636363636;586.75;11852350
France;1901;2;4;4.8454545455;582.925;11775085
